Epoch,Seed,Train Loss,Val Loss,Mean IoU,Time (s)
1,2746317213,2.174102681023734,1.818175733089447,0.17112424664812603,225.02257776260376
2,3929441273,1.625055091721671,1.6829796433448792,0.18033361230571404,207.83379530906677
3,3956745389,1.3477073567254203,1.3159822821617126,0.24058349974259752,186.84160614013672
4,2662851630,1.1831796850476946,1.1526361107826233,0.2587204709704141,187.2272253036499
5,1207160067,1.0901299970490592,1.3070176839828491,0.19768263221981702,187.6911244392395
6,3576218115,1.0480679188455855,1.167267918586731,0.20420129154431432,171.90173602104187
7,82549276,1.012241678578513,1.0478026270866394,0.2588702051372708,172.4004831314087
8,1720255532,0.9820257297583989,1.1481521129608154,0.2131680015823861,170.8607280254364
9,2504462384,0.9625329502991268,1.308005690574646,0.18229108680556885,169.1875786781311
10,1917007669,0.9546481200626918,1.351217269897461,0.17606301062810722,168.55980110168457
